"","SRR1033183","SRR1033278","SRR1033010","SRR1033228","SRR1033161","SRR1032930","SRR1032912","SRR1032941","SRR1033275","SRR1032971","SRR1032972","SRR1032981","SRR1032945","SRR1032948","SRR1032953","SRR1032982","SRR1032924","SRR1032964","SRR1032985","SRR1032989"
"CYP3A7-CYP3AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP46A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4A11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4A22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4F11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4F12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4F2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4F22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4F24P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4F3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4F30P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4F35P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4F8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4V2",0,5,0,5,0,0,3,9,2,0,15,1,0,0,0,0,0,0,0,0
"CYP4X1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4Z1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4Z2P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP51A1",207,123,52,136,125,54,206,182,148,14,156,6,80,124,90,78,61,5,51,155
"CYP7A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP7B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP8B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYR61",24,133,6,40,0,246,174,19,75,239,255,221,141,150,101,109,250,23,72,43
"CYS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYSLTR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYSLTR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYSTM1",0,163,0,29,0,3,0,1,18,0,0,0,0,0,105,0,0,0,90,1
"CYTH1",0,2,1,0,0,1,17,1,1,0,0,0,0,0,0,0,2,23,1,0
"CYTH2",3,124,67,38,10,8,4,0,1,0,0,0,1,0,0,10,0,0,0,0
"CYTH3",3,7,1,0,0,11,0,1,0,0,0,0,0,0,18,1,0,0,0,0
"CYTH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYTIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYTL1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYYR1",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21S2088E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D2HGDH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAAM1",92,44,15,86,45,71,29,0,9,6,32,0,1,1,35,43,34,0,0,0
"DAAM2",0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,2,0,0
"DAB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAB2",54,182,255,65,92,5,6,3,52,153,34,61,3,8,68,11,1,0,18,42
"DAB2IP",0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DACH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DACH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DACT1",0,0,0,21,7,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
"DACT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DACT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DACT3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAD1",851,528,742,1075,924,539,725,1349,1059,525,1204,679,290,1069,594,1080,1140,1591,822,1207
"DAG1",52,14,1,19,10,13,9,6,1,9,17,1,0,0,0,3,0,5,0,12
"DAGLA",0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAGLB",0,7,0,3,2,0,0,0,0,0,0,0,0,1,14,1,0,0,0,1
"DAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"DALRD3",5,1,0,11,4,0,3,4,22,0,2,0,0,41,0,2,20,2,0,0
"DANCR",0,1,0,99,68,5,15,3,95,0,86,6,101,226,130,171,2,232,85,19
"DAND5",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAOA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAP",0,4,165,92,34,42,62,0,81,0,3,23,0,38,95,30,99,0,190,13
"DAP3",128,222,380,60,137,87,189,135,205,342,82,35,205,249,65,64,85,17,180,93
"DAPK1",125,1,49,2,0,25,13,0,0,0,9,64,20,0,0,0,0,0,0,0
"DAPK2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,27,0,0,0
"DAPK3",0,0,0,4,2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0
"DAPL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAPP1",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DARC",0,0,0,0,0,0,0,0,0,0,0,0,8,0,108,0,0,0,0,1
"DARS",100,94,84,115,0,5,77,116,246,109,125,58,125,115,49,180,199,98,10,0
"DARS2",45,47,79,56,10,20,8,168,4,21,0,151,0,62,89,13,0,93,85,0
"DAW1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAXX",282,97,0,19,57,3,217,109,70,98,0,0,254,17,66,117,49,0,1,2
"DAZ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAZ2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAZ3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAZ4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAZAP1",1,4,0,28,28,0,2,0,2,1,0,0,0,0,1,0,3,1,11,23
"DAZAP2",0,23,136,97,417,253,30,313,0,15,63,172,141,75,66,41,5,157,114,93
"DAZL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBF4",13,55,6,22,57,23,58,81,29,21,36,28,2,30,2,12,26,75,2,8
"DBF4B",0,81,47,0,1,0,0,2,1,0,2,0,0,0,0,6,5,4,0,0
"DBH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBI",2070,954,1500,952,1328,912,1041,1044,1337,1599,1264,816,1059,1315,1148,1225,653,1445,999,1411
"DBIL5P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBIL5P2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DBN1",0,70,52,4,0,5,29,10,42,0,26,0,0,0,0,18,7,71,2,63
"DBNDD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBNDD2",0,66,0,84,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBNL",0,0,5,8,123,1,7,0,3,1,59,0,28,10,2,22,93,0,10,0
"DBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBR1",2,0,0,2,3,0,4,0,18,0,0,0,0,7,20,0,0,83,0,25
"DBT",27,10,0,9,8,15,13,7,0,6,6,0,1,6,0,9,1,4,4,0
"DBX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCAF10",0,22,9,0,4,0,18,15,0,0,0,4,0,9,7,0,3,0,5,0
"DCAF11",0,74,0,0,0,19,0,0,0,0,2,0,7,0,0,0,0,3,0,0
"DCAF12",0,3,23,22,27,12,21,1,0,9,7,18,3,1,61,48,1,0,1,0
"DCAF12L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCAF12L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCAF13",61,4,3,120,23,93,201,322,32,176,73,399,393,218,142,19,1,304,41,129
"DCAF13P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCAF15",1,0,0,0,0,17,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"DCAF16",0,7,0,33,27,8,0,18,46,4,2,40,4,2,8,3,0,0,0,1
"DCAF17",0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,48,0,0,1,0
"DCAF4",0,0,0,0,0,0,1,0,0,15,0,11,0,1,0,91,0,0,0,0
"DCAF4L1",0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0
"DCAF4L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCAF5",0,1,0,0,0,0,8,0,15,3,0,0,0,5,24,17,0,0,26,0
"DCAF6",121,1,33,42,54,21,1,0,0,0,7,0,21,8,59,51,4,17,7,27
"DCAF7",67,76,0,119,75,26,11,103,5,27,1,27,1,58,58,44,37,0,0,29
"DCAF8",6,0,0,13,3,24,1,1,31,3,0,0,37,0,53,0,0,60,18,0
"DCAF8L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCAF8L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCAKD",71,48,20,2,11,58,10,2,2,4,0,4,13,2,59,48,8,4,0,12
"DCBLD1",0,0,0,0,0,0,3,0,0,0,1,35,4,16,0,0,2,0,0,83
"DCBLD2",262,188,46,137,51,336,141,233,385,232,253,84,251,309,304,322,337,228,245,260
"DCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCDC2B",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DCDC5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCHS1",3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DCHS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCK",0,86,0,10,2,46,19,1,77,0,26,46,8,23,0,9,0,0,0,2
"DCLK1",1,0,0,3,54,3,50,0,0,0,0,0,0,0,0,0,0,7,0,0
"DCLK2",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCLK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCLRE1A",0,0,0,0,7,7,0,0,0,0,0,16,0,0,0,0,1,0,0,0
"DCLRE1B",1,1,0,0,0,4,0,2,0,94,0,0,0,9,0,29,13,3,1,0
"DCLRE1C",39,0,46,33,141,52,0,38,96,6,53,59,72,9,12,15,9,1,42,0
"DCN",0,0,152,917,0,0,6,1,131,0,12,0,12,174,110,0,172,132,120,130
"DCP1A",37,0,0,11,10,4,45,20,40,0,3,19,3,30,48,54,6,0,18,0
"DCP1B",0,14,0,6,0,0,11,0,1,14,22,0,0,0,0,65,0,0,0,0
"DCP2",89,43,54,48,80,0,4,33,21,9,30,0,22,5,53,3,1,23,1,13
"DCPS",0,65,0,50,3,106,4,126,35,0,1,126,25,19,59,0,6,0,11,0
"DCST1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCST2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCSTAMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCTD",0,1,0,161,36,15,6,45,80,0,38,0,4,17,4,162,61,3,23,137
"DCTN1",1,31,0,94,107,0,97,0,28,30,10,33,0,15,4,19,4,91,151,0
"DCTN1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCTN2",97,22,404,72,177,4,42,194,169,234,12,29,5,16,107,52,74,1,156,8
"DCTN3",220,103,500,106,110,28,74,89,19,58,67,333,16,61,22,6,92,84,183,0
"DCTN4",17,41,0,41,1,75,0,0,134,0,127,0,0,2,0,5,2,0,0,39
"DCTN5",0,5,43,15,2,3,32,5,7,0,7,2,0,3,42,10,1,1,17,0
"DCTN6",4,75,0,96,153,78,146,142,211,86,140,0,6,0,0,169,75,109,139,75
"DCTPP1",0,0,0,49,71,164,167,10,96,58,188,34,7,68,203,347,32,4,232,235
"DCUN1D1",24,164,16,11,14,15,83,37,154,99,13,10,58,84,71,20,41,6,52,56
"DCUN1D2",0,1,0,10,28,0,2,0,3,0,0,0,0,1,2,0,2,0,3,0
"DCUN1D3",0,5,0,0,8,8,61,31,6,0,0,25,16,6,57,13,0,0,43,0
"DCUN1D4",0,29,5,65,53,71,81,130,5,67,66,138,147,93,19,79,12,92,19,3
"DCUN1D5",0,0,0,3,1,1,1,9,5,0,0,11,0,1,2,1,2,3,0,6
"DCX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCXR",0,8,1,27,6,33,34,0,103,0,0,0,99,40,68,14,73,0,2,0
"DDA1",0,5,12,0,1,3,4,1,15,0,1,0,9,0,0,1,8,0,5,0
"DDAH1",2314,1259,906,254,787,921,477,1184,359,1107,380,1471,581,617,273,540,257,541,828,327
"DDAH2",90,75,397,110,9,105,2,0,100,0,9,151,0,0,14,6,2,0,0,0
"DDB1",78,61,0,12,4,8,24,0,15,0,1,35,4,22,6,33,12,2,1,8
"DDB2",0,18,0,1,153,20,2,45,27,0,29,18,0,1,180,0,9,0,0,51
"DDC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDHD1",1,5,4,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0
"DDHD2",0,0,0,3,12,7,6,0,0,0,19,0,0,1,0,0,0,0,0,0
"DDI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDI2",0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDIT3",0,0,7,224,148,0,7,0,157,0,0,1,0,2,0,0,4,0,0,9
"DDIT4",0,0,0,9,16,0,0,0,0,0,0,1,0,0,0,49,0,0,0,15
"DDIT4L",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
"DDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDOST",367,64,0,233,247,34,454,107,375,277,349,421,248,145,274,222,169,79,324,110
"DDR1",3,1,0,0,0,0,0,0,0,28,0,0,0,0,1,0,2,0,0,0
"DDR2",0,0,0,122,37,0,76,11,16,4,68,235,2,79,0,120,3,1,0,0
"DDRGK1",15,0,0,5,0,42,0,0,57,0,1,0,0,37,11,50,138,0,51,0
"DDT",0,167,79,50,105,77,79,89,165,54,30,194,11,160,81,28,236,58,26,82
"DDTL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX1",105,104,389,89,34,106,130,175,99,92,48,99,5,112,61,93,27,10,111,291
"DDX10",3,0,0,14,5,8,24,48,91,208,0,13,131,14,72,3,36,13,2,0
"DDX11",2,3,22,0,1,8,0,0,0,76,14,12,0,34,0,19,10,0,3,0
"DDX11-AS1",0,0,39,1,0,0,0,8,0,0,0,36,0,21,0,0,0,0,21,9
"DDX11L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX11L10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX11L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX11L5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX11L9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX12P",10,0,4,0,5,0,0,0,0,3,0,3,0,18,0,0,2,0,1,5
"DDX17",82,151,2,56,26,21,14,15,35,65,13,67,50,15,41,47,3,43,36,60
"DDX18",17,158,139,28,3,25,5,42,50,62,51,34,49,16,33,68,57,65,47,15
"DDX19A",0,0,36,0,39,7,18,1,5,2,5,51,3,3,8,3,55,60,15,0
"DDX19B",117,6,0,0,0,170,24,48,0,55,5,2,0,81,0,14,0,234,11,0
"DDX20",0,0,88,0,0,0,29,0,23,41,58,0,0,0,0,19,0,0,0,0
"DDX21",16,64,13,27,106,33,136,113,175,124,85,125,57,98,98,49,86,179,289,32
"DDX23",0,90,1,51,0,73,91,44,86,69,1,0,1,0,9,3,1,73,10,8
"DDX24",19,94,29,52,51,64,23,29,22,33,21,5,227,62,81,135,24,208,49,66
"DDX25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX26B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DDX27",8,5,43,11,3,17,94,3,46,12,19,4,3,63,17,46,12,10,25,6
"DDX28",0,18,0,0,0,0,0,0,33,0,2,0,0,17,0,6,0,0,0,0
"DDX31",0,0,0,0,0,0,0,37,16,0,3,4,3,0,0,0,0,0,3,0
"DDX39A",36,306,291,268,309,4,48,205,193,274,163,328,229,212,345,92,28,168,0,560
"DDX39B",44,284,223,109,207,231,282,169,36,56,198,456,81,156,75,197,141,86,121,123
"DDX3X",177,111,19,157,127,94,78,103,87,22,106,224,4,80,38,31,90,112,97,211
"DDX3Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX41",1,0,0,126,6,60,45,26,24,0,11,0,7,43,0,130,0,367,3,10
"DDX42",6,58,3,28,10,15,83,21,38,86,37,0,2,125,14,48,21,75,45,11
"DDX43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX46",37,53,18,1,8,80,24,10,43,7,24,36,28,45,27,79,17,10,32,27
"DDX47",142,167,21,105,51,331,132,307,22,186,280,56,67,171,90,162,160,4,332,140
"DDX49",0,0,278,56,7,0,54,231,1,0,2,0,143,0,0,5,0,0,0,2
"DDX5",1364,692,1598,696,1327,599,286,652,557,530,307,445,386,567,441,280,314,500,467,304
"DDX50",40,15,15,16,0,77,19,32,31,27,71,150,11,92,17,52,30,208,67,28
"DDX51",0,9,35,5,0,7,0,0,1,0,0,0,0,0,1,0,2,1,5,0
"DDX52",50,23,0,8,34,59,2,34,6,0,9,58,41,9,4,20,11,0,100,3
"DDX53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX54",0,0,0,3,0,0,14,0,0,1,23,0,0,2,0,8,2,0,0,0
"DDX55",0,17,0,1,0,27,13,0,32,17,1,3,21,12,85,16,3,0,7,72
"DDX56",288,56,0,44,78,5,125,121,10,59,54,0,82,10,0,18,106,1,0,34
"DDX58",7,3,0,0,0,5,2,1,0,0,0,1,0,1,18,0,0,0,0,0
"DDX59",0,5,0,1,94,0,1,0,22,20,0,0,0,1,13,0,0,0,0,0
"DDX6",14,36,12,20,55,28,44,24,16,82,15,12,66,8,48,44,23,2,59,70
"DDX60",0,1,0,23,0,26,0,0,0,0,51,0,0,0,0,2,0,0,0,0
"DDX60L",23,9,20,0,0,3,1,13,0,0,4,0,2,0,1,33,0,0,0,0
"DEAF1",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"DEC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DECR1",125,50,276,61,63,150,143,122,17,197,114,466,4,58,0,287,33,297,147,66
"DECR2",0,0,0,0,0,2,5,0,0,0,0,0,1,1,11,4,0,0,0,1
"DEDD",144,13,0,15,5,47,70,14,29,0,63,39,47,36,42,5,74,164,180,1
"DEDD2",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"DEF6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEF8",285,447,201,80,31,269,24,128,92,63,0,8,99,9,76,61,83,0,194,171
"DEFA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFA10P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFA11P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFA1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFA8P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFA9P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB103A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB103B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB104A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB104B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB105A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB106A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB106B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB107A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB107B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB108B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB109P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB109P1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB136",0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
"DEFB4A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB4B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFT1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEGS1",11,4,0,120,66,8,265,200,136,114,98,236,68,164,59,114,89,102,372,59
"DEGS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEK",669,153,156,123,265,139,98,69,189,145,263,113,62,143,282,168,156,41,45,181
"DENND1A",55,0,0,25,2,1,55,0,0,2,0,0,37,5,0,1,11,0,0,0
"DENND1B",0,0,0,0,0,0,0,0,37,0,0,0,36,7,0,26,0,0,0,0
"DENND1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DENND2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DENND2C",0,0,2,0,0,0,16,10,0,0,1,0,0,10,0,0,1,2,0,0
"DENND2D",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"DENND3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DENND4A",22,0,0,33,0,0,0,0,16,1,1,0,0,2,21,0,2,0,0,0
"DENND4B",0,4,0,0,0,7,0,0,16,0,0,29,0,1,0,0,0,0,0,0
