"","out01_0","out02_0","out03_0","out04_0","out05_0","out06_0","out07_0","out08_0","out09_0"
"CBFB",30,33,36,41,38,46,51,49,58
"CBL",5,5,6,7,6,8,8,7,9
"CBLB",22,20,19,18,14,15,13,11,10
"CBLC",0,0,0,0,0,0,0,0,0
"CBLL1",15,16,16,15,14,17,16,15,17
"CBLN1",0,0,0,0,0,0,0,0,0
"CBLN2",0,0,0,0,0,0,0,0,0
"CBLN3",0,0,0,0,0,0,0,0,0
"CBLN4",0,0,0,0,0,0,0,0,0
"CBR1",32,38,39,48,48,59,61,61,67
"CBR3",1,2,2,2,3,5,5,6,6
"CBR3-AS1",0,1,1,1,1,1,1,1,2
"CBR4",27,27,25,25,21,21,23,20,21
"CBS",1,2,2,3,3,4,5,4,5
"CBWD1",20,21,20,21,22,21,18,21,22
"CBWD2",18,19,19,17,15,17,16,14,16
"CBWD3",2,1,0,0,1,1,1,1,1
"CBWD5",6,8,10,10,9,7,8,8,8
"CBWD6",1,1,1,1,1,1,1,1,1
"CBX1",57,57,59,61,52,60,64,58,63
"CBX2",1,1,2,2,2,2,3,3,4
"CBX3",129,128,122,131,112,132,128,119,121
"CBX3P2",0,0,0,0,1,1,1,1,1
"CBX4",0,0,0,0,0,1,1,1,1
"CBX5",73,77,80,85,78,93,97,90,103
"CBX6",3,4,3,3,2,2,2,2,2
"CBX7",0,0,0,0,0,0,0,0,0
"CBX8",0,0,0,0,0,0,0,0,0
"CBY1",19,18,20,24,20,28,24,25,29
"CBY3",0,0,0,0,0,0,0,0,0
"CC2D1A",3,3,2,2,1,1,1,1,0
"CC2D1B",1,2,2,2,2,3,3,3,4
"CC2D2A",6,6,5,5,4,4,4,3,3
"CC2D2B",2,1,2,1,1,0,1,0,0
"CCAR1",70,68,69,69,63,71,71,65,69
"CCBE1",15,20,24,30,31,40,42,42,48
"CCBL1",6,5,5,4,4,3,2,2,3
"CCBL2",25,28,27,26,23,28,28,26,27
"CCBP2",4,2,2,2,2,1,1,1,1
"CCDC101",6,8,8,9,10,16,15,17,18
"CCDC102A",1,1,1,1,1,1,0,0,0
"CCDC102B",1,1,1,1,1,1,2,2,2
"CCDC103",1,1,1,1,0,1,0,0,0
"CCDC104",29,28,32,34,28,30,31,28,33
"CCDC105",0,0,0,0,0,0,0,0,0
"CCDC106",0,0,0,0,0,0,0,0,0
"CCDC107",4,6,5,4,4,3,4,3,2
"CCDC108",0,0,0,0,0,0,0,0,0
"CCDC109B",23,21,22,19,16,14,13,13,12
"CCDC11",0,0,0,1,1,1,1,1,1
"CCDC110",0,0,0,0,0,0,0,0,1
"CCDC111",6,6,6,5,6,7,6,6,7
"CCDC112",5,7,7,7,6,6,7,6,7
"CCDC113",0,1,1,1,1,1,1,1,2
"CCDC114",0,0,0,0,0,0,0,0,0
"CCDC115",9,7,10,8,8,10,10,13,12
"CCDC116",0,0,0,0,0,0,0,0,0
"CCDC117",9,8,7,8,6,7,5,5,4
"CCDC12",61,62,57,61,56,63,67,59,63
"CCDC120",1,1,1,1,0,0,0,0,0
"CCDC121",1,1,1,1,1,1,2,1,1
"CCDC122",4,4,6,6,5,7,7,8,8
"CCDC124",24,23,26,26,26,24,28,23,24
"CCDC125",1,2,3,3,3,4,5,4,5
"CCDC126",25,23,18,18,13,13,11,8,7
"CCDC127",18,18,22,24,22,28,31,28,31
"CCDC129",0,0,0,0,0,0,0,0,0
"CCDC13",0,0,0,0,0,0,0,0,0
"CCDC13-AS1",0,0,0,0,0,0,0,0,0
"CCDC130",14,16,14,14,10,11,10,8,7
"CCDC132",3,3,4,4,4,3,4,3,3
"CCDC134",2,5,4,5,4,6,7,8,7
"CCDC135",0,0,0,0,0,0,0,0,0
"CCDC136",0,0,0,0,0,0,0,0,0
"CCDC137",12,13,13,16,14,15,16,15,18
"CCDC138",3,5,7,9,10,13,14,14,15
"CCDC14",14,15,17,16,15,18,20,18,22
"CCDC140",0,0,0,0,0,0,0,0,0
"CCDC141",20,17,14,13,9,8,6,4,3
"CCDC142",1,1,1,1,1,1,1,2,1
"CCDC144A",2,1,1,1,1,1,0,0,0
"CCDC144B",12,11,10,9,7,7,5,4,4
"CCDC144C",0,0,0,0,0,0,0,0,0
"CCDC144NL",0,0,0,0,0,0,0,0,0
"CCDC146",2,1,2,1,1,1,1,1,1
"CCDC147",0,0,0,0,0,0,0,0,0
"CCDC148",2,2,2,2,2,2,2,1,2
"CCDC148-AS1",0,0,0,0,0,0,0,0,0
"CCDC149",0,0,1,1,1,1,1,1,1
"CCDC15",2,2,4,4,5,6,8,7,10
"CCDC150",0,1,2,2,3,4,4,4,5
"CCDC151",0,0,0,0,0,0,0,0,0
"CCDC152",1,1,1,1,1,1,2,1,1
"CCDC153",6,8,5,4,2,3,3,1,2
"CCDC154",0,0,0,0,0,0,0,0,0
"CCDC155",0,0,0,0,0,0,0,0,0
"CCDC157",1,1,1,1,1,0,0,0,0
"CCDC158",0,0,0,0,0,0,0,0,0
"CCDC159",0,0,0,0,0,0,0,0,0
"CCDC160",0,0,0,0,0,0,0,0,0
"CCDC162P",0,0,0,0,0,0,0,0,0
"CCDC163P",2,2,3,2,1,3,2,1,1
"CCDC164",0,0,0,0,0,0,0,0,0
"CCDC166",0,0,0,0,0,0,0,0,0
"CCDC167",186,181,181,201,167,222,225,214,237
"CCDC168",0,0,0,0,0,0,0,0,0
"CCDC169",4,4,5,3,3,4,4,4,2
"CCDC169-SOHLH2",1,3,0,0,0,0,0,0,0
"CCDC17",0,0,0,0,0,0,0,0,0
"CCDC170",2,2,1,1,1,1,1,0,0
"CCDC171",1,2,1,2,1,2,1,2,2
"CCDC172",0,0,0,0,0,0,0,0,0
"CCDC173",0,0,0,0,0,0,0,0,0
"CCDC174",8,9,9,10,9,11,11,10,11
"CCDC175",1,1,1,1,1,1,1,0,0
"CCDC176",0,0,0,1,1,1,1,1,1
"CCDC177",0,0,0,0,0,0,0,0,0
"CCDC178",0,0,0,0,0,0,0,0,0
"CCDC179",0,0,0,0,0,0,0,0,0
"CCDC18",4,6,9,9,9,13,15,14,18
"CCDC19",0,0,0,0,0,0,0,0,0
"CCDC22",3,3,2,3,2,2,1,2,1
"CCDC23",67,69,64,67,56,63,63,52,65
"CCDC24",1,1,1,1,1,2,1,1,2
"CCDC25",30,28,27,29,27,29,29,25,27
"CCDC27",0,0,0,0,0,0,0,0,0
"CCDC28A",10,9,12,11,12,15,14,14,18
"CCDC28B",64,61,49,45,31,28,28,20,15
"CCDC3",5,4,6,7,5,7,7,7,8
"CCDC30",0,0,0,0,0,0,0,0,0
"CCDC33",0,0,0,0,0,0,0,0,0
"CCDC34",5,8,12,15,14,20,23,22,30
"CCDC36",1,1,2,2,1,2,2,1,2
"CCDC37",0,0,0,0,0,0,0,0,0
"CCDC38",0,0,0,0,0,0,0,0,0
"CCDC39",2,2,1,1,1,1,1,0,0
"CCDC40",0,0,0,0,0,0,0,0,0
"CCDC41",12,12,10,10,10,11,10,9,10
"CCDC42",0,0,0,0,0,0,0,0,0
"CCDC42B",0,0,0,0,0,0,0,0,0
"CCDC43",49,50,51,49,42,47,49,44,44
"CCDC47",32,31,30,26,23,26,23,21,21
"CCDC50",11,12,12,13,12,13,15,13,14
"CCDC51",22,26,26,26,23,30,31,32,34
"CCDC53",151,145,153,157,132,146,161,146,152
"CCDC54",2,1,1,1,0,1,0,0,0
"CCDC57",0,0,0,0,1,1,1,1,1
"CCDC58",37,33,46,45,37,53,50,46,59
"CCDC59",22,26,26,27,25,31,30,32,31
"CCDC6",7,8,8,9,8,10,11,10,11
"CCDC60",0,0,0,0,0,0,0,0,0
"CCDC61",1,1,0,0,0,0,0,0,0
"CCDC62",0,0,0,0,0,0,0,0,0
"CCDC63",0,0,0,0,0,0,0,0,0
"CCDC64",0,0,0,0,0,0,0,0,0
"CCDC64B",0,0,0,0,0,0,0,0,0
"CCDC65",1,0,1,0,0,0,0,0,0
"CCDC66",10,10,10,11,9,10,12,11,12
"CCDC67",0,0,0,0,0,0,0,0,0
"CCDC68",0,1,1,2,2,2,3,3,3
"CCDC69",0,0,0,0,0,0,0,0,0
"CCDC7",3,2,2,3,2,2,2,3,2
"CCDC70",0,0,0,0,0,0,0,0,0
"CCDC71",3,4,4,3,3,4,5,4,5
"CCDC71L",1,1,1,1,1,1,2,2,2
"CCDC73",4,4,4,4,2,3,3,3,3
"CCDC74A",0,0,0,0,0,0,0,0,0
"CCDC74B",0,0,1,0,1,1,1,1,1
"CCDC74B-AS1",0,1,0,0,1,0,0,0,0
"CCDC77",6,8,12,12,11,17,16,17,21
"CCDC78",0,0,0,0,0,0,0,0,0
"CCDC79",0,0,0,0,0,0,0,0,0
"CCDC8",4,3,3,4,3,3,3,3,3
"CCDC80",102,116,127,143,132,162,177,168,191
"CCDC81",0,0,0,0,0,0,0,0,0
"CCDC82",19,19,20,23,20,25,25,24,26
"CCDC83",0,0,0,0,0,0,0,0,0
"CCDC84",11,12,13,11,9,10,10,10,12
"CCDC85A",4,4,5,5,4,5,5,4,5
"CCDC85B",1,1,1,2,1,2,2,2,2
"CCDC85C",2,2,1,2,2,2,2,2,2
"CCDC86",10,8,10,9,8,10,9,9,8
"CCDC87",0,0,0,0,0,0,0,0,0
"CCDC88A",24,24,23,24,21,22,23,21,22
"CCDC88B",0,0,0,0,0,0,0,0,0
"CCDC88C",2,2,1,1,1,1,1,1,1
"CCDC89",0,1,1,1,2,2,2,2,2
"CCDC9",1,1,1,1,1,1,1,0,0
"CCDC90A",1,1,2,2,2,3,2,2,3
"CCDC90B",197,178,168,156,131,124,125,101,105
"CCDC91",8,7,9,8,8,8,8,9,9
"CCDC92",8,9,10,11,12,14,14,12,14
"CCDC93",13,12,12,13,9,10,10,9,9
"CCDC94",4,3,4,4,4,3,4,4,4
"CCDC96",0,0,0,0,0,0,0,0,0
"CCDC97",3,3,3,3,2,2,2,2,3
"CCER1",0,0,0,0,0,0,0,0,0
"CCHCR1",0,0,0,1,1,1,1,1,1
"CCIN",0,0,0,1,0,0,0,0,0
"CCK",0,0,0,0,1,0,0,0,1
"CCKAR",0,0,0,0,0,0,0,0,0
"CCKBR",0,0,0,0,0,0,0,0,0
"CCL1",0,0,0,0,0,0,0,0,0
"CCL11",0,0,0,0,0,0,0,0,0
"CCL13",0,0,0,0,0,0,0,0,0
"CCL14",0,0,0,0,0,0,0,0,0
"CCL15",0,0,0,0,0,0,0,0,0
"CCL15-CCL14",0,0,0,0,0,0,0,0,0
"CCL16",0,0,0,0,0,0,0,0,0
"CCL17",0,0,0,0,0,0,0,0,0
"CCL18",0,0,0,0,0,0,0,0,0
"CCL19",0,0,0,0,0,0,0,0,0
"CCL2",1,1,1,1,1,2,1,1,2
"CCL20",0,1,1,1,1,1,1,1,2
"CCL21",0,0,0,0,0,0,0,0,0
"CCL22",0,0,0,0,0,0,0,0,0
"CCL23",0,0,0,0,0,0,0,0,0
"CCL24",0,0,0,0,0,0,0,0,0
"CCL25",0,0,0,0,0,0,0,0,0
"CCL26",0,0,0,0,0,0,0,0,1
"CCL27",0,0,0,0,0,0,0,0,0
"CCL28",0,0,0,0,0,0,0,0,0
"CCL3",0,0,0,0,0,0,0,0,0
"CCL3L1",0,0,0,0,0,0,0,0,0
"CCL3L3",0,0,0,0,0,0,0,0,0
"CCL4",0,0,0,0,0,0,0,0,0
"CCL4L1",0,0,0,0,0,0,0,0,0
"CCL4L2",0,0,0,0,0,0,0,0,0
"CCL5",38,37,40,36,30,32,36,32,32
"CCL7",0,0,0,0,0,0,0,0,0
"CCL8",0,0,0,0,0,0,0,0,0
"CCM2",6,8,7,8,7,8,8,9,9
"CCM2L",0,0,0,0,0,0,0,0,0
"CCNA1",0,0,1,2,2,1,2,2,2
"CCNA2",7,11,16,19,21,26,30,33,37
"CCNB1",65,118,173,216,226,304,356,352,419
"CCNB1IP1",56,53,49,42,38,38,36,26,27
"CCNB2",48,90,120,154,156,216,237,245,289
"CCNB3",0,0,0,0,0,0,0,0,0
"CCNC",52,56,55,55,47,58,59,52,59
"CCND1",62,60,60,59,49,56,57,48,54
"CCND2",82,72,60,53,38,34,26,16,9
"CCND3",46,42,47,48,40,46,48,41,47
"CCNDBP1",38,36,33,33,25,28,26,23,22
"CCNE1",2,4,4,4,6,8,10,9,11
"CCNE2",5,10,14,21,22,30,32,33,42
"CCNF",6,11,13,18,19,25,27,28,33
"CCNG1",107,107,108,107,95,107,111,97,108
"CCNG2",11,10,11,12,9,12,12,12,13
"CCNH",60,63,62,70,61,72,72,70,78
"CCNI",109,112,103,107,94,100,95,86,97
"CCNI2",0,0,0,0,0,0,0,0,0
"CCNJ",3,3,2,2,2,3,3,2,2
"CCNJL",4,4,5,5,5,6,6,4,6
"CCNK",10,11,11,11,10,12,12,11,11
"CCNL1",22,22,24,24,24,27,26,24,28
"CCNL2",30,29,28,29,24,28,28,25,25
"CCNO",0,0,0,0,0,1,0,0,0
"CCNT1",15,14,13,12,10,12,10,9,9
"CCNT2",15,15,16,14,12,13,12,10,10
"CCNY",72,65,59,57,43,45,40,33,30
"CCNYL1",5,5,5,4,4,4,4,4,4
"CCP110",10,11,13,13,12,16,16,16,18
"CCPG1",32,30,31,33,27,31,28,29,29
"CCR1",0,0,0,0,0,0,0,0,0
"CCR10",0,0,0,0,0,0,0,0,0
"CCR2",0,0,0,0,0,0,0,0,0
"CCR3",0,0,0,0,0,0,0,0,0
"CCR4",0,0,0,0,0,0,0,0,0
"CCR5",0,0,0,0,0,0,0,0,0
"CCR6",1,1,1,1,2,2,2,2,2
"CCR7",0,0,0,0,0,0,0,0,0
"CCR8",0,0,0,0,0,0,0,0,0
"CCR9",0,0,0,0,0,0,0,0,0
"CCRL1",0,0,0,0,0,0,0,0,0
"CCRL2",0,0,0,0,0,0,0,0,0
"CCRN4L",19,16,16,15,11,11,11,9,9
"CCS",8,7,7,4,6,6,4,5,3
"CCSAP",7,7,7,7,7,7,7,7,8
"CCSER1",0,0,0,0,0,0,0,0,0
"CCSER2",15,14,14,14,11,12,11,9,10
"CCT2",432,416,404,412,337,380,377,336,351
"CCT3",296,309,304,297,269,295,313,269,300
"CCT4",168,173,177,175,157,179,185,173,188
"CCT5",255,263,273,274,246,289,292,277,299
"CCT6A",329,331,342,366,325,379,383,360,398
"CCT6B",1,1,1,0,1,1,1,1,1
"CCT6P1",13,12,11,11,9,11,9,10,9
"CCT6P3",19,17,16,11,10,10,8,7,6
"CCT7",423,401,393,387,335,367,363,317,338
"CCT8",585,576,549,541,472,520,510,441,481
"CCT8L2",0,0,0,0,0,0,0,0,0
"CCZ1",4,3,3,4,3,4,4,4,3
"CCZ1B",4,5,4,4,3,4,4,2,3
"CD101",0,0,0,0,0,0,0,0,0
"CD109",9,12,13,16,15,18,20,20,21
"CD14",0,0,0,0,0,0,0,0,0
"CD151",35,34,38,34,27,29,31,22,26
"CD160",1,1,1,0,1,0,1,1,1
"CD163",0,0,0,0,0,0,0,0,0
"CD163L1",0,0,0,0,0,0,0,0,0
"CD164",91,95,97,104,91,108,114,106,115
"CD164L2",0,0,0,0,0,0,0,0,0
"CD177",0,0,0,0,0,0,0,0,0
"CD180",0,0,0,0,0,0,0,0,0
"CD19",0,0,0,0,0,0,0,0,0
"CD1A",0,0,0,0,0,0,0,0,0
"CD1B",0,0,0,0,0,0,0,0,0
"CD1C",0,0,0,0,0,0,0,0,0
"CD1D",0,0,0,0,0,0,0,0,0
"CD1E",0,0,0,0,0,0,0,0,0
"CD2",0,0,0,0,0,0,0,0,0
"CD200",1,1,1,1,1,0,0,0,0
"CD200R1",0,0,0,0,0,0,0,0,0
"CD200R1L",0,0,0,0,0,0,0,0,0
"CD207",0,0,0,0,0,0,0,0,0
"CD209",0,0,0,0,0,0,0,0,0
"CD22",0,0,0,0,0,0,0,0,0
"CD226",0,0,0,0,0,0,0,0,0
"CD24",16,15,13,12,9,6,5,2,2
"CD244",0,0,0,0,0,0,0,0,0
"CD247",0,0,0,0,0,0,0,0,0
"CD248",0,1,0,0,0,1,1,1,1
"CD27",0,0,0,0,0,0,0,0,0
"CD27-AS1",4,3,3,2,2,2,2,1,1
"CD274",3,4,6,8,7,10,11,12,13
"CD276",37,33,30,27,19,19,15,13,10
"CD28",0,0,0,0,0,0,0,0,0
"CD2AP",8,7,6,6,5,5,5,5,4
"CD2BP2",12,12,11,10,9,8,9,6,8
"CD300A",0,0,0,0,0,0,0,0,0
"CD300C",0,0,0,0,0,0,0,0,0
"CD300E",0,0,0,0,0,0,0,0,0
"CD300LB",0,0,0,0,0,0,0,0,0
"CD300LD",0,0,0,0,0,0,0,0,0
"CD300LF",0,0,0,0,0,0,0,0,0
"CD300LG",0,0,0,0,0,0,0,0,0
"CD302",2,2,4,4,4,5,5,5,6
"CD320",25,31,31,38,37,43,49,46,59
"CD33",0,0,0,0,0,0,0,0,0
"CD34",15,15,12,10,7,7,6,4,2
"CD36",24,20,18,17,11,8,7,5,2
"CD37",0,0,0,0,0,0,0,0,0
"CD38",0,0,0,0,0,0,0,0,0
"CD3D",0,0,0,0,0,0,0,0,0
"CD3E",0,0,0,0,0,0,0,0,0
"CD3EAP",6,6,7,6,6,8,8,7,10
"CD3G",0,0,0,0,0,0,0,0,0
"CD4",1,1,2,2,2,2,3,3,4
"CD40",0,1,1,1,1,1,1,2,2
"CD40LG",0,0,0,0,0,0,0,0,0
"CD44",144,193,238,284,279,357,398,394,464
"CD46",67,65,60,60,46,53,48,41,40
"CD47",24,25,27,28,25,29,29,28,31
"CD48",0,0,0,0,0,0,0,0,0
"CD5",0,0,0,0,0,0,0,0,0
"CD52",0,0,0,0,0,0,0,0,0
"CD53",0,0,0,0,0,0,0,0,0
"CD55",4,4,4,6,4,6,8,7,7
"CD58",92,81,75,76,56,68,61,50,54
"CD59",196,231,260,290,279,348,376,362,418
"CD5L",0,0,0,0,0,0,0,0,0
"CD6",0,0,0,0,0,0,0,0,0
"CD63",3620,3420,3296,3163,2640,2862,2733,2429,2508
"CD68",3,4,6,8,7,9,12,12,12
"CD69",0,0,0,0,0,0,0,0,0
"CD7",0,0,0,0,0,0,0,0,0
"CD70",0,0,0,0,0,0,0,0,0
"CD72",1,0,0,0,1,0,0,0,0
"CD74",0,0,0,0,0,0,0,0,0
"CD79A",0,0,0,0,0,0,0,0,0
"CD79B",0,0,0,0,0,0,0,0,0
"CD80",0,0,0,0,0,0,0,0,0
"CD81",85,77,78,69,55,62,53,43,45
"CD82",512,471,436,384,312,322,282,226,221
"CD83",3,3,1,1,1,1,1,1,0
"CD84",0,0,0,0,0,0,0,0,0
"CD86",0,0,0,0,0,0,0,0,0
"CD8A",0,0,0,0,0,0,0,0,0
"CD8B",0,0,0,0,0,0,0,0,0
"CD9",40,45,46,52,51,63,68,69,73
"CD93",0,0,0,0,0,0,0,0,0
"CD96",1,1,1,1,1,1,1,0,1
"CD97",20,17,15,16,12,13,10,9,9
"CD99",0,0,0,0,0,0,0,0,0
"CD99L2",8,8,8,8,8,9,8,8,9
"CD99P1",0,0,0,0,0,0,0,0,0
"CDA",1,2,2,3,2,3,3,4,6
"CDADC1",3,4,5,6,6,8,8,7,8
"CDAN1",1,1,1,1,1,1,2,2,2
"CDC123",262,276,284,300,264,299,310,296,314
"CDC14A",4,4,3,3,3,3,3,2,2
"CDC14B",11,10,8,7,6,5,4,3,2
"CDC14C",0,0,0,0,0,0,0,0,0
"CDC16",19,22,28,31,30,39,39,38,43
"CDC20",21,44,61,80,84,117,143,134,162
"CDC20B",0,0,0,0,0,0,0,0,0
"CDC23",46,46,43,43,36,42,40,38,38
"CDC25A",0,1,1,2,2,2,2,3,3
"CDC25B",34,36,38,37,31,41,39,34,38
"CDC25C",5,8,11,14,16,22,25,25,28
"CDC26",81,75,76,76,70,80,80,75,82
"CDC27",43,44,47,47,43,49,49,46,50
"CDC34",6,6,5,5,3,3,2,2,2
"CDC37",39,36,34,31,26,29,27,23,23
"CDC37L1",28,28,26,22,20,21,22,15,15
"CDC40",13,13,12,14,12,14,13,13,16
"CDC42",520,529,519,528,465,545,546,498,538
"CDC42BPA",67,61,60,57,45,49,47,42,42
"CDC42BPB",4,5,5,4,4,4,4,4,4
"CDC42BPG",0,0,0,0,0,0,0,0,0
"CDC42EP1",16,15,15,12,10,9,10,8,7
"CDC42EP2",20,22,18,15,14,15,12,9,10
"CDC42EP3",143,138,137,126,108,114,107,97,102
"CDC42EP4",1,1,1,1,2,3,2,3,3
"CDC42EP5",0,0,0,0,0,0,0,0,0
"CDC42SE1",102,95,87,84,67,71,66,52,55
"CDC42SE2",45,44,44,47,41,45,45,42,44
"CDC45",8,19,30,38,40,51,61,58,73
"CDC5L",28,29,29,31,27,30,31,30,33
"CDC6",11,15,20,27,25,31,37,38,43
"CDC7",2,3,5,6,6,9,11,10,12
"CDC73",45,40,39,37,31,34,31,29,30
"CDCA2",5,8,13,15,15,22,23,25,30
"CDCA3",25,41,60,72,76,101,120,116,144
"CDCA4",5,8,11,13,14,18,20,20,23
"CDCA5",4,8,10,17,17,22,24,27,31
"CDCA7",2,5,7,11,11,13,16,16,19
"CDCA7L",8,11,14,17,17,23,25,25,29
"CDCA8",9,21,26,38,41,54,61,64,75
"CDCP1",1,2,3,3,4,5,6,5,6
"CDCP2",0,0,0,0,0,0,0,0,0
"CDH1",1,1,1,1,1,1,0,0,0
"CDH10",0,0,0,0,0,0,0,0,0
"CDH11",49,49,50,45,38,40,39,33,35
"CDH12",0,1,1,1,0,1,0,0,1
"CDH13",378,347,314,290,224,233,207,160,151
"CDH15",12,10,8,7,6,5,4,3,2
"CDH16",0,0,0,0,0,0,0,0,0
"CDH17",0,0,0,0,0,0,0,0,0
"CDH18",0,0,0,0,0,0,0,0,0
"CDH19",0,0,0,0,0,0,0,0,0
"CDH2",39,43,45,47,46,54,58,56,63
"CDH20",0,0,0,0,0,1,0,0,1
"CDH22",0,0,0,0,0,0,0,0,0
"CDH23",0,0,0,0,0,0,0,0,0
"CDH24",0,0,0,0,0,0,0,0,0
"CDH26",0,0,0,0,0,0,0,0,0
"CDH3",0,0,0,0,0,0,0,0,0
"CDH4",2,3,4,5,5,6,8,7,8
"CDH5",0,0,0,0,0,0,0,0,0
"CDH6",0,0,0,0,0,0,0,0,0
"CDH7",0,0,0,0,0,0,0,0,0
"CDH8",6,6,5,4,3,3,2,2,2
"CDH9",0,0,0,0,0,0,0,0,0
"CDHR1",0,0,0,0,0,0,0,0,0
"CDHR2",0,0,0,0,0,0,0,0,0
"CDHR3",0,0,0,0,0,0,0,0,0
"CDHR4",0,0,0,0,0,0,0,0,0
"CDHR5",0,0,0,0,0,0,0,0,0
"CDIP1",19,16,17,17,15,13,12,11,12
"CDIPT",2,2,5,3,3,4,5,4,6
"CDK1",44,83,127,164,170,224,248,266,316
"CDK10",15,14,11,15,12,11,12,12,13
"CDK11A",7,6,7,8,6,9,7,8,7
"CDK11B",5,5,7,6,7,7,10,8,12
"CDK12",2,2,2,2,2,2,3,2,3
"CDK13",9,9,10,10,9,10,10,9,10
"CDK14",5,6,6,6,5,6,7,6,7
"CDK15",2,2,3,5,4,6,7,7,8
"CDK16",4,5,6,8,7,8,8,10,11
"CDK17",7,8,8,9,8,9,9,9,9
"CDK18",8,6,5,5,4,3,2,1,1
"CDK19",5,6,7,7,7,7,8,7,8
"CDK2",7,10,12,16,15,20,23,23,26
"CDK20",0,0,0,0,0,0,0,0,0
"CDK2AP1",264,261,246,246,206,214,210,187,191
"CDK2AP2",108,92,99,86,69,71,69,58,56
"CDK3",4,4,2,3,2,1,2,1,1
"CDK4",55,58,63,72,64,80,83,79,91
"CDK5",39,43,44,39,37,35,37,39,39
"CDK5R1",3,3,3,2,2,3,2,2,2
"CDK5R2",0,0,0,0,0,0,0,0,0
"CDK5RAP1",15,20,21,24,23,27,31,34,36
"CDK5RAP2",10,11,12,14,13,16,16,15,18
"CDK5RAP3",68,66,63,59,51,59,56,51,52
"CDK6",152,142,133,124,104,109,102,87,87
"CDK7",53,56,54,60,56,61,63,58,70
"CDK8",2,3,3,3,4,5,5,5,4
"CDK9",19,20,20,18,18,21,17,18,18
"CDKAL1",21,23,23,22,21,22,24,23,24
"CDKL1",4,8,9,11,13,15,17,16,23
"CDKL2",0,0,0,0,0,0,0,0,0
"CDKL3",1,1,1,1,1,1,1,1,1
"CDKL4",0,0,0,0,0,0,0,0,0
"CDKL5",1,1,1,1,1,1,0,0,0
"CDKN1A",246,214,193,178,137,131,119,89,79
"CDKN1B",2,1,1,1,1,1,1,1,0
"CDKN1C",341,303,258,216,155,130,96,59,32
"CDKN2A",11,7,9,6,5,6,4,3,3
"CDKN2AIP",11,12,12,12,9,10,12,10,10
"CDKN2AIPNL",44,45,48,55,47,59,59,50,66
"CDKN2B",6,6,6,5,4,5,5,4,3
"CDKN2B-AS1",1,2,3,4,3,6,5,6,7
"CDKN2C",18,20,20,17,18,19,15,18,20
"CDKN2D",7,6,6,6,7,8,9,8,8
"CDKN3",60,108,163,190,195,252,301,313,364
"CDNF",2,2,3,2,1,2,1,0,0
"CDO1",0,0,0,0,0,0,0,0,0
"CDON",6,6,5,4,4,4,3,3,2
"CDPF1",20,17,17,14,11,11,12,10,10
"CDR1",4,4,4,3,3,3,3,1,2
"CDR2",8,9,8,7,6,6,7,6,5
"CDR2L",63,60,56,55,45,48,44,39,41
"CDRT1",1,1,1,1,1,0,0,0,0
"CDRT15",0,0,0,0,0,0,0,0,0
"CDRT15L2",0,0,0,0,0,0,0,0,0
"CDRT15P1",0,0,0,0,0,0,0,0,0
"CDRT15P2",0,0,0,0,0,0,0,0,0
"CDRT4",0,0,0,0,0,0,0,0,0
"CDRT7",0,0,0,0,0,0,0,0,0
"CDS1",0,0,0,0,0,0,0,0,0
"CDS2",9,9,11,11,10,12,13,12,14
"CDSN",0,0,0,0,0,0,0,0,0
"CDT1",1,2,2,3,3,4,5,5,6
"CDV3",1077,992,895,815,650,674,603,489,458
"CDX1",0,0,0,0,0,0,0,0,0
"CDX2",0,0,0,0,0,0,0,0,0
"CDX4",0,0,0,0,0,0,0,0,0
"CDY1",0,0,0,0,0,0,0,0,0
"CDY1B",0,0,0,0,0,0,0,0,0
"CDY2A",0,0,0,0,0,0,0,0,0
"CDY2B",0,0,0,0,0,0,0,0,0
"CDYL",10,12,11,11,11,11,12,10,12
"CDYL2",1,1,1,1,1,2,2,2,3
"CEACAM1",0,0,0,0,0,0,0,0,0
"CEACAM16",1,1,1,1,0,0,1,0,0
"CEACAM18",0,0,0,0,0,0,0,0,0
"CEACAM19",5,4,3,3,2,1,2,1,1
"CEACAM20",0,0,0,0,0,0,0,0,0
"CEACAM21",0,0,0,0,0,0,0,0,0
"CEACAM22P",1,1,1,1,0,0,0,0,0
"CEACAM3",0,0,0,0,0,0,0,0,0
"CEACAM4",0,0,0,0,0,0,0,0,0
"CEACAM5",0,0,0,0,0,0,0,0,0
"CEACAM6",0,0,0,0,0,0,0,0,0
"CEACAM7",0,0,0,0,0,0,0,0,0
"CEACAM8",0,0,0,0,0,0,0,0,0
"CEBPA",0,0,0,0,0,0,0,0,0
"CEBPA-AS1",0,0,0,0,0,0,0,0,0
"CEBPB",2,2,2,1,2,2,2,2,1
"CEBPD",4,4,4,5,5,6,5,5,7
"CEBPE",0,0,0,0,0,0,0,0,0
"CEBPG",6,6,5,5,4,5,4,5,4
"CEBPZ",21,23,27,32,28,34,36,37,41
"CECR1",3,3,2,3,2,2,2,2,2
"CECR2",0,0,0,0,0,0,0,0,0
"CECR3",0,0,0,0,0,0,0,0,0
"CECR5",6,5,6,6,5,8,7,7,7
"CECR5-AS1",2,4,2,4,0,0,1,1,1
"CECR6",0,0,0,0,0,0,0,0,0
"CECR7",0,0,0,0,0,0,0,0,0
"CEL",0,0,0,0,0,0,0,0,0
